Date,User,Content,Coordinates
2022-07-29 03:02:31+00:00,itsmeterah,"Yes! Reinstate mask mandates 

@RachelNotley @BrianJeanAB @JustinTrudeau @CanadianPM @theJagmeetSingh @CMOH_Alberta @NDP @albertaNDP @liberal_party @Alberta_UCP @Alberta_UCP @JasonCoppingAB @MikeEllisUCP @YourAlberta @CPHO_Canada @AHS_media https://t.co/nmwTeYsiA7","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-07-26 13:51:41+00:00,theJaredPilon,"Attention @Alberta_UCP leadership candidates,

If you are running on a platform that states jailing pastors is wrong and that the AB gov needs to stand up to @JustinTrudeau, you need to be:

1. Not a 3 year MLA, or
2. A 3 yr MLA who got thrown out of the party for speaking up","Coordinates(longitude=-114.571835, latitude=51.881752)"
2022-07-25 22:00:36+00:00,CailinasEirinn,"“ … federal Conservative MP Michelle Rempel Garner has cleared a barrier for entry into the United Conservative Party leadership race to replace Alberta Premier Jason Kenney after the UCP agreed to let her run despite … not being a party member for long enough.”

Huh. 🧐 https://t.co/zJRWAGFmo3","Coordinates(longitude=-124.064698, latitude=49.097301)"
2022-07-21 16:19:29+00:00,CailinasEirinn,"@RajSherman @lorenfmonty @Alberta_UCP @FortMacToday @CityofRedDeer @CityofGP @medicinehatcity @LethbridgeCity It will never, ever be a “big tent party.”

That ship sailed a long time ago, after Peter Lougheed.","Coordinates(longitude=-124.064698, latitude=49.097301)"
2022-07-19 14:35:13+00:00,AndersonBooz,"@TheBreakdownAB @Alberta_UCP was born of corruption and lies and it will always be the party of corruption and lies.

Of course they welcome Smith.

Let's hope Albertans get smarter very quickly.

#abpoli","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-07-18 18:41:21+00:00,malotothecore,"Let’s see 
crisis in the ER’s 
Crisis in the hospitals
Crisis in the ambulances
Crisis in the hospitality sector
Crisis in worker shortages.. 
maybe the @Alberta_UCP should be renamed Alberta Crisis Party! #abpoli","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-07-13 04:29:38+00:00,tzilkie,@jkenney @JasonCoppingAB @Alberta_UCP @liberal_party ACCOUNTABILITY NOW!!!!! https://t.co/u1VovLlUSF,"Coordinates(longitude=-113.052581, latitude=52.929859)"
2022-07-07 17:48:52+00:00,djhowat,@SnowdenElect @badasssdadass @ABDanielleSmith @JustinTrudeau @Alberta_UCP @liberal_party @jkenney https://t.co/SBDQr2qJet,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-07-07 14:53:44+00:00,djhowat,@SnowdenElect @badasssdadass @ABDanielleSmith @JustinTrudeau @Alberta_UCP @liberal_party @jkenney https://t.co/BZ9rZxCvKy,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-07-01 00:16:55+00:00,wandreef,"I live here in 'Berta. Thank you @JustinTrudeau for providing the vaccines and support to people in #Alberta. I apologize for the UcP but really, math competence hasn't been a strong characteristic in the UCP party. It was probably an accounting error. Nixon😬 https://t.co/0gknfnaKDt","Coordinates(longitude=-114.803736, latitude=55.249654)"
2022-06-24 02:53:48+00:00,KenBoessenkool,"Tonight a leader with two decades of energy experience demonstrated her approach to make Alberta stronger. 

@RajanJSaw is the clear choice for a better future for the @Alberta_UCP party, the province and Alberta families. https://t.co/Jm3YsvzLyu","Coordinates(longitude=-113.601905, latitude=50.04808)"
2022-06-23 20:34:03+00:00,littleolmeyup,"@Mitchell_AB The Cons in Alberta need to form a new party and let the UCP infight their way into extinction. How I’d love to see something more in the middle, without the extremes of the UCP and the NDP. Alberta Party tried but had no backing from “reg” Conservatives. I miss the middle.","Coordinates(longitude=-115.2092535, latitude=35.984784)"
2022-06-18 20:16:14+00:00,HmGinYYC,"@jamieLaLL @BarbLarochelle @zaidi71 @BrianJeanAB Yeah. Right. @Alberta_UCP your integrity, trustworthiness &amp; good government don't add up to anything positive for Alberta. Your party &amp; it's policies should be ground into paste next election for what it(they!) Have done to this Province. #abpoli","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-06-15 23:56:29+00:00,TruckinEh,@DarrenBurchill @ABDanielleSmith @Alberta_UCP Sounds good.... But first I'd like to know why you left the party you led and joined Redford only to be crushed by the NDP in the next election?,"Coordinates(longitude=-113.601905, latitude=50.04808)"
2022-06-15 16:21:04+00:00,RommelR02372947,"Bell: UCP off track says Kenney minister and leader wannabe. “You know what, Alberta. You know what, party members. You’re right. We hear you. We’re going to get back on track.” https://t.co/9PSRmNbKkq","Coordinates(longitude=-112.93618, latitude=49.620144)"
2022-06-14 05:05:34+00:00,RagingLibNana,@JulieYAli @alisoncassis1 @jkenney @JasonCoppingAB @CMOH_Alberta @Alberta_UCP Not all albertans. About 30% have a blind hatred. NDPers do not.   The rest are just jealous of him. We have so many different political parties that conservatives benefit from all the split votes.,"Coordinates(longitude=-114.950088, latitude=52.355736)"
2022-06-09 15:52:22+00:00,KristinRaworth,"I think the fact 2 women of colour are running for the leadership of the UCP, first for provincial conservative politics in Alberta &amp; a first for any party I believe, is fantastic. Representation matters and @RajanJSaw and @LeelaAheer show young girls they can do anything https://t.co/oB8UuQWK8f","Coordinates(longitude=5.7258434, latitude=43.1266266)"
2022-06-08 00:00:52+00:00,joanchandoiseau,"Congratulations @LeelaAheer - your announcement today re @Alberta_UCP’s Leadership race - I applaud your decision to step forward to lead. Party politics aside, we need more elected officials who consider it a privilege to work together to serve Albertans #leadership #abpoli","Coordinates(longitude=-114.728795, latitude=50.794298)"
2022-06-05 02:53:35+00:00,HighlandDude,@TrishNuttall @JAnneliese16 @RachelNotley The fact is they did it. So you'd support tbe UCP who will just find something else to cut? One of the other parties that are just another colour of conservative? Or the NDP? I choose the NDP. I don't believe the Alberta Party cares any more than the UCP.,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-06-04 18:11:43+00:00,HighlandDude,@Dee_Liberate My question is why are you attacking the NDP? The ones to be attacking are the UCP. They are the problem. As a Albertan who educated myself on the things that matter to me - I know the NDP are who I am supporting. The Alberta Party is useless and the UCP is toxic.,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-06-03 02:38:22+00:00,red90rover,@amritnannan @LukaszukAB @Alberta_UCP The conservatives are never fiscally conservative. They always have more debt than progressive parties.,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-05-25 22:00:12+00:00,canada_disabled,"#ODSP #PWDAllies #PWDAlliesON #PwD
#PWDVote2 #MAID 
@JustinTrudeau @CanadianPM 
@liberal_party @OLPWarRoom @ontario_liberal @OntLiberal @RightsGAC  @CdnHumanRights @NDP @CQualtro @CPC_HQ @BlocQuebecois @CanadianGreens @R_ODSP 
@OntarioGreens @peoplespca @CPC_HQ @Alberta_UCP ⬇️🤬 https://t.co/Lv89GPi0h4","Coordinates(longitude=-78.214621, latitude=43.631257)"
2022-05-21 00:35:43+00:00,beachmagoo,"@maxfawcett Alberta needs two conservative political parties plus #ProportionalRepresentation to move forward.

Continuous policy improvement not policy flip flop.

No more single member districts. Improve rhetoric &amp; represent the vast majority of voters.

#abpoli #ableg #ABNDP #UCP #LPC","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-05-20 00:42:27+00:00,maddworldca,Albertans definitely have “a trust thing” w/ @jkenney! Post lists some reasons why - tho there are so many more. Do you trust rest of @Alberta_UCP party to do better for ABs w/ different leader? #ableg #abpoli #politics #ucp #party #Alberta #premier https://t.co/Gd8sXdYGWu,"Coordinates(longitude=-114.728795, latitude=50.794298)"
2022-05-19 23:40:38+00:00,HarchReality,"@cowtown1979 @jkenney @Alberta_UCP A ""bit"" of character 🤣. You'll note that he hasn't actually stepped down, and that his intent to do so is conditional on the party finding a new leader, for which there is currently no timeline? You've been suckered once again","Coordinates(longitude=-114.728795, latitude=50.794298)"
2022-05-19 01:14:48+00:00,mneal67,"Boom!!!!  Get the fuck out of Alberta @jkenney Edmonton Journal: Kenney UCP party leadership review results.
https://t.co/JI9HZ6RQPz

via @GoogleNews","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-05-18 19:23:30+00:00,anonfmresident,@AlNickel1 @MBellefontaine @BrianJeanAB @Alberta_UCP @Drew__Barnes With the current rejects they need 1 more.  Four is an official party meaning funding resources and a question period allotment.  Only thing holding the big blue circus tent together is fear/hate of the NDP.,"Coordinates(longitude=-114.001159, latitude=55.329481)"
2022-05-18 19:06:28+00:00,anonfmresident,"@AlNickel1 @MBellefontaine @BrianJeanAB Bottom line is @BrianJeanAB will not run as @Alberta_UCP again. Can't really predict the odds of each scenario but only possibilities are
1)  Sits as a quiet UCP backbencher
2) Sits as as an IND
3) Joins @Drew__Barnes et al forming the Reject conservative parties
4) Quits again","Coordinates(longitude=-114.001159, latitude=55.329481)"
2022-05-13 23:53:55+00:00,IsisWise,"Jason Kenney’s leadership review is imminent; will he stay in Alberta as his leadership of United Conservative Party is decided? Earlier this week it was reported that his UCP party paid for memberships in bulk and is under investigation.
#NeverVoteConservative #ABleg #Cdnpoli https://t.co/zzWBVa2GVW","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-05-08 00:28:05+00:00,IsisWise,"Jason Kenney’s United Conservative  Party Under Investigation:
Elections Alberta investigating allegation of bulk UCP membership purchases. https://t.co/hQG7sZCwAQ #NeverVoteConservative #ABpoli #CPCDumpsterfire🔥","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-05-07 03:06:20+00:00,ResetAlberta,"@brenda97444372 @AlbertansFirst @sunrickbell @jkenney @Alberta_UCP Ah, technically it's ""Fifty-nine per cent of people who voted UCP in the 2019 election want a new leader.""
https://t.co/G1AaPoRGcx
I just inferred those who want a new leader are looking for a new Party. https://t.co/UxLlCSxxKG","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-05-05 17:21:25+00:00,CggGordon,Have been Unacceptable for so long. When is Young #Millennial Chinese #Gordon 👨🏻🧏🏻‍♂️🦻🏻 going to be Accepted @Canada? @JustinTrudeau &amp; his @liberal_party #Government do not accept this Albertan to the West. @Alberta_UCP/@CPC_HQ do not accept me neither. #Alberta #Yeg #iPhone 👨🏻🧏🏻‍♂️🦻🏻,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-05-04 13:23:48+00:00,wandreef,The #AbLeg #alberta #UCP party hates sick people. Especially people with #diabetes. #ResignKenney https://t.co/p60isvhHOk,"Coordinates(longitude=-114.803736, latitude=55.249654)"
2022-04-23 01:51:34+00:00,beachmagoo,"@joececiyyc @Frazzling @jkenney What I learn about Alberta politics is neither the #UCP or #NDP support #ProportionalRepresentation 

Both Parties are focused on Party power with too little focus on representing the people.

Support #ProportionalRepresentation  if your serious about democracy.

#abpoli #ableg","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-04-10 14:07:50+00:00,RommelR02372947,"@DuaneBratt @Spearmac @jkenney politically still is alive, he’s not the problem, but, the traditional wing in UCP caucus and their views are fragmented and there are not consensus towards priorities affecting communities from different backgrounds across Alberta, leading to a broken party.","Coordinates(longitude=-112.93618, latitude=49.620144)"
2022-04-07 05:11:56+00:00,tzilkie,Watching @jkenney in the death throws of his political life is an interesting sight to be sure. @Alberta_UCP he will be the death of progressive conservatism &amp; your party  in AB if he’s allowed to continue. #wayofthedodo https://t.co/MxoinRNAVs,"Coordinates(longitude=-113.052581, latitude=52.929859)"
2022-04-01 13:07:46+00:00,J_AbasMB,"The state of #abpoli is focussed squarely on an internally divided party that can’t run a province. I’d say Alberta deserves much better. The premier does not need replacing with another UCP member, the UCP needs to be voted out and replaced entirely. #ableg","Coordinates(longitude=-3.07452, latitude=56.451371)"
2022-03-30 22:13:52+00:00,ClarkeRaodi123,@TheBreakdownAB @BrianJeanAB @UCPCaucus @JustinWieting truthfully if he ran for the Alberta Party he may actually have formed government. His association with the UCP and its corruption drags him to their level.,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-03-24 13:16:34+00:00,lowriderr1212,"@kiaraisback13 Did you hear what happened here in Alberta? We are trying to get rid of our premier, and there is a popularity vote to see whether he stays or goes, there are a lot of members new memberships in the UCP party, and I am even one of them who paid $110 to be one, the vote was to be","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-03-11 17:04:09+00:00,LeonardGould3,"....&amp;everyone in ConfederateSouthern ALBERTA!thinkin'(at least in the UCP""CALGARY  'Secede-from-the-Union Party""(the ""secede-frm-Confederation&amp;-join-Putin's Petro-state Pooters!💩🤔Lookin' lk the set of ""Cowboys &amp; Aliens""👽,  ""shootin'6-guns at the Covid""cooties""&amp;whoopin' 'round! https://t.co/dtgWlyA9K4","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-03-10 03:59:44+00:00,beachmagoo,"@BrandonTozzo @savoirfaire_2 Alberta will get rid of the UCP next election.

We have a two party system now.  The Liberals are not popular  since the NEP about 40 years ago.

Welcome to the Alberta two party system with #FPTP 

#ableg #abpoli #cdnpoli #onpoli","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-03-04 02:16:53+00:00,OldBrew75,@ryanbolin @Alberta_UCP Definitely not our grandparents party.,"Coordinates(longitude=-114.571835, latitude=51.881752)"
2022-03-03 14:40:31+00:00,aggieloveseggs,@mayorblaine @SweetGeorgia_77 @Alberta_UCP Good luck finding a party that doesn't play favours. Such a thing doesn't exist.,"Coordinates(longitude=16.4280679, latitude=49.1096353)"
2022-02-25 02:10:42+00:00,alberta_cw,"The UCP’s answer to a balanced budget is bitumen.
The Alberta Party’s answer to a balanced budget is an Alberta sales tax.
The NDPs answer to a balanced budget is they don’t have one.

All the above have $100-150+ billion in debt

A Republic eliminates all debt with its surplus https://t.co/nlQqsH0jr8","Coordinates(longitude=-114.3160379, latitude=50.84278)"
